curve,rank,period,regulator,tamagawa,torsion,l_value,bsd_prediction,analytic_sha
63.a6,0,2.2066209286713847,1.0,2,2,1.1032966375350952,1.1033104643356924,0.9999874678968033
64.a1,0,1.8540746773013719,1.0,2,2,0.9276385307312012,0.9270373386506859,1.0006485090248796
64.a2,0,3.7081493546027438,1.0,4,4,0.9276385307312012,0.9270373386506859,1.0006485090248796
64.a3,0,3.7081493546027438,1.0,4,4,0.9276385307312012,0.9270373386506859,1.0006485090248796
64.a4,0,3.7081493546027438,1.0,1,2,0.9276385307312012,0.9270373386506859,1.0006485090248796
66.a1,0,1.5941829146946467,1.0,2,2,0.7971458733081818,0.7970914573473233,1.0000682681521134
66.a2,0,0.7970914573473233,1.0,4,2,0.7971458733081818,0.7970914573473233,1.0000682681521134
66.a3,0,4.78254874408394,1.0,6,6,0.7971458733081818,0.7970914573473232,1.0000682681521134
66.a4,0,2.39127437204197,1.0,12,6,0.7971458733081818,0.7970914573473232,1.0000682681521134
66.b1,0,1.1021925301216091,1.0,1,2,1.1021217703819275,0.2755481325304023,3.9997432037044423
66.b2,0,2.2043850602432182,1.0,8,4,1.1021217703819275,1.1021925301216091,0.9999358009261106
66.b3,0,1.1021925301216093,1.0,4,2,1.1021217703819275,1.1021925301216093,0.9999358009261103
66.b4,0,4.4087701204864365,1.0,4,4,1.1021217703819275,1.1021925301216091,0.9999358009261106
66.c1,0,0.4766459262449941,1.0,10,2,1.191896677017212,1.1916148156124853,1.0002365373449824
66.c2,0,0.23832296312249704,1.0,20,2,1.191896677017212,1.1916148156124853,1.0002365373449824
66.c3,0,2.38322963122497,1.0,50,10,1.191896677017212,1.191614815612485,1.0002365373449826
66.c4,0,1.191614815612485,1.0,100,10,1.191896677017212,1.191614815612485,1.0002365373449826
67.a1,0,1.2737700365450593,1.0,1,1,1.273626446723938,1.2737700365450593,0.9998872717861139
69.a1,0,2.405863867560989,1.0,2,2,1.2028295993804932,1.2029319337804945,0.9999149291849958
69.a2,0,2.405863867560989,1.0,2,2,1.2028295993804932,1.2029319337804945,0.9999149291849958
70.a1,0,1.1803043465576624,1.0,4,2,1.1802819967269897,1.1803043465576624,0.99998106434943
70.a2,0,2.3606086931153247,1.0,2,2,1.1802819967269897,1.1803043465576624,0.99998106434943
70.a3,0,2.3606086931153247,1.0,8,4,1.1802819967269897,1.1803043465576624,0.99998106434943
70.a4,0,2.3606086931153243,1.0,8,4,1.1802819967269897,1.1803043465576621,0.9999810643494302
72.a1,0,1.9465368422751186,1.0,2,2,0.9735007286071777,0.9732684211375593,1.0002386879760743
72.a2,0,0.9732684211375594,1.0,4,2,0.9735007286071777,0.9732684211375594,1.0002386879760743
72.a3,0,1.9465368422751188,1.0,8,4,0.9735007286071777,0.9732684211375594,1.0002386879760743
72.a4,0,1.9465368422751188,1.0,8,4,0.9735007286071777,0.9732684211375594,1.0002386879760743
72.a5,0,1.9465368422751188,1.0,8,4,0.9735007286071777,0.9732684211375594,1.0002386879760743
72.a6,0,0.9732684211375595,1.0,4,2,0.9735007286071777,0.9732684211375595,1.000238687976074
73.a1,0,4.73064186896532,1.0,1,2,1.1825714111328125,1.18266046724133,0.9999246984988641
73.a2,0,2.36532093448266,1.0,2,2,1.1825714111328125,1.18266046724133,0.9999246984988641
75.a1,0,0.6272349294963924,1.0,1,1,0.6271075010299683,0.6272349294963924,0.9997968409276466
75.a2,0,3.1361746474819614,1.0,5,5,0.6271075010299683,0.6272349294963923,0.9997968409276469
75.b1,0,0.31318436121487137,1.0,16,2,1.25299072265625,1.2527374448594855,1.0002021794732838
75.b2,0,0.6263687224297427,1.0,32,4,1.25299072265625,1.2527374448594855,1.0002021794732838
75.b3,0,0.31318436121487137,1.0,64,4,1.25299072265625,1.2527374448594855,1.0002021794732838
75.b4,0,2.5054748897189705,1.0,2,2,1.25299072265625,1.2527374448594852,1.000202179473284
75.b5,0,1.2527374448594855,1.0,16,4,1.25299072265625,1.2527374448594855,1.0002021794732838
75.b6,0,2.505474889718971,1.0,8,4,1.25299072265625,1.2527374448594855,1.0002021794732838
75.b7,0,2.5054748897189714,1.0,2,2,1.25299072265625,1.2527374448594857,1.0002021794732836
75.b8,0,0.6263687224297427,1.0,8,2,1.25299072265625,1.2527374448594855,1.0002021794732838
75.c1,0,1.4025399402162213,1.0,1,1,1.402495265007019,1.4025399402162213,0.999968146925502
75.c2,0,1.4025399402162209,1.0,1,1,1.402495265007019,1.4025399402162209,0.9999681469255022
76.a1,0,1.1104197465122847,1.0,1,1,1.110151767730713,1.1104197465122847,0.9997586689336051
77.b1,0,4.64673019690457,1.0,2,3,1.0327831506729126,1.0326067104232377,1.0001708687808184
77.b2,0,1.5489100656348567,1.0,6,3,1.0327831506729126,1.0326067104232377,1.0001708687808184
77.b3,0,0.5163033552116189,1.0,2,1,1.0327831506729126,1.0326067104232377,1.0001708687808184
77.c1,0,2.6516148584911803,1.0,2,2,1.3260715007781982,1.3258074292455901,1.0001991778947554
